timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:00:40,21.33,5.15,21.37,18.76,16.65
2025-03-16 01:00:41,,,,,
2025-03-16 01:00:41,,,,,
2025-03-16 01:00:41,18.42,5.85,18.16,18.6,15.26
2025-03-16 01:00:43,16.09,3.22,14.85,17.82,13.0
2025-03-16 01:00:44,19.6,3.39,19.51,18.31,15.2
2025-03-16 01:00:45,22.87,4.48,22.77,18.36,17.12
2025-03-16 01:00:46,24.45,5.13,24.3,18.42,18.07
2025-03-16 01:00:47,29.12,6.64,28.97,19.18,20.98
2025-03-16 01:00:48,28.99,6.44,28.9,18.96,20.83
2025-03-16 01:00:48,,,,,
2025-03-16 01:00:48,,,,,
2025-03-16 01:00:49,29.42,6.23,29.27,18.87,20.95
2025-03-16 01:00:50,29.16,6.24,28.88,18.82,20.78
2025-03-16 01:00:51,25.77,5.18,26.96,18.55,19.12
2025-03-16 01:00:52,22.03,4.55,22.93,17.82,16.83
2025-03-16 01:00:53,26.85,5.51,27.49,18.33,19.55
2025-03-16 01:00:54,34.81,7.49,36.22,18.97,24.37
2025-03-16 01:00:55,47.66,20.42,52.3,21.14,35.38
2025-03-16 01:00:55,,,,,
2025-03-16 01:00:56,37.51,11.1,38.96,20.86,27.11
2025-03-16 01:00:56,,,,,
2025-03-16 01:00:56,,,,,
2025-03-16 01:00:57,48.64,25.15,53.6,23.9,37.83
2025-03-16 01:00:58,,,,,
2025-03-16 01:00:58,47.77,24.69,53.06,23.69,37.3
2025-03-16 01:00:59,41.86,16.0,45.3,22.94,31.53
2025-03-16 01:01:00,40.51,13.56,43.82,22.84,30.18
2025-03-16 01:01:01,45.17,18.29,51.78,23.84,34.77
2025-03-16 01:01:02,,,,,
2025-03-16 01:01:02,,,,,
2025-03-16 01:01:02,,,,,
2025-03-16 01:01:02,,,,,
2025-03-16 01:01:02,47.15,21.93,51.11,24.35,36.14
2025-03-16 01:01:03,49.11,25.59,52.77,24.8,38.07
2025-03-16 01:01:04,47.29,23.13,50.47,24.3,36.3
2025-03-16 01:01:05,47.43,24.37,51.34,24.11,36.81
2025-03-16 01:01:06,46.93,23.45,50.18,24.19,36.19
2025-03-16 01:01:07,,,,,
2025-03-16 01:01:07,43.82,17.65,46.9,23.26,32.91
2025-03-16 01:01:08,38.57,11.7,39.13,22.25,27.91
2025-03-16 01:01:09,32.75,6.7,32.83,20.43,23.18
2025-03-16 01:01:10,21.22,3.52,21.93,17.08,15.94
2025-03-16 01:01:11,,,,,
2025-03-16 01:01:11,,,,,
2025-03-16 01:01:11,16.69,2.72,17.02,17.63,13.52
2025-03-16 01:01:12,,,,,
2025-03-16 01:01:12,18.06,2.53,17.7,18.36,14.16
2025-03-16 01:01:13,19.09,2.89,19.09,17.1,14.54
2025-03-16 01:01:14,,,,,
2025-03-16 01:01:14,19.97,2.85,19.37,17.07,14.81
2025-03-16 01:01:15,18.15,2.6,17.62,17.86,14.06
2025-03-16 01:01:16,21.12,3.66,21.19,16.98,15.74
2025-03-16 01:01:18,23.37,4.26,23.24,17.78,17.16
2025-03-16 01:01:19,24.75,4.57,24.75,17.26,17.84
2025-03-16 01:01:20,25.63,4.78,25.55,17.25,18.3
2025-03-16 01:01:21,25.12,4.51,25.02,17.1,17.94
2025-03-16 01:01:22,24.49,4.41,25.05,16.89,17.71
2025-03-16 01:01:22,,,,,
2025-03-16 01:01:22,,,,,
2025-03-16 01:01:22,,,,,
2025-03-16 01:01:22,,,,,
2025-03-16 01:01:23,22.41,3.93,23.35,16.58,16.57
2025-03-16 01:01:23,,,,,
2025-03-16 01:01:23,,,,,
2025-03-16 01:01:23,,,,,
2025-03-16 01:01:23,,,,,
2025-03-16 01:01:24,21.06,3.51,21.61,16.29,15.62
